csv_post_title,csv_post_post,csv_post_type,csv_post_excerpt,csv_ctax_project_category,csv_post_tags,csv_post_date,csv_navi_zoom,csv_navi_latitude,csv_navi_longitude
Jatun K'asa Community Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-17.944115,-66.066399
Jatun Mayu Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-17.47938,-65.670776
Kalachaca Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-18.023792,-65.584259
Kari Pocoata Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-18.533327,-66.266098
Kari Pocoata Education Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-18.5317,-66.261292
Kari Pocoata Community Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-18.532677,-66.269531
K'aspi Cancha Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-17.388647,-65.706482
Kayarani Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-17.418787,-65.65567
Kayarani Education Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-17.416822,-65.65979
Kayarani Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-17.415838,-65.657043
Kewina Pampa Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-17.714678,-65.453796
Kily Kily Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-17.628971,-65.784073
Kiri Kiri Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-17.169659,-66.755676
Kirusillani Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-18.064924,-66.09787
Kirusillani - Leuque Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-18.076509,-66.109886
Koaraca Education Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-17.937582,-66.140442
Koari Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-17.481672,-65.533447
Kuchu Arumani Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-17.926476,-65.823212
Kumara Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-17.04825,-66.580582
K'umo Thago - Kainal Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-18.094051,-64.908783
La Joya Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-18.635836,-64.955292
Laguna Grande Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-18.66186,-64.102478
Laguna Sulty Clinic 1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-17.517445,-65.915924
